twin_id,name,tenant_id,created_at,source_count,source_chunks_total,memory_count,qna_count,interview_sessions_count,interview_memories_extracted_total,pinecone_vector_count,pinecone_namespace_exists
61e5e6df-f51c-4985-9ef0-95b0bddd5258,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:53.136686+00:00,8,0,0,0,0,0,17,True
a4d4f43c-9bfd-4a11-83f4-36640a6a1d88,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:28.146684+00:00,0,0,0,0,0,0,0,False
436484f2-97ff-4070-bfc2-abe111d15fa9,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:26.02388+00:00,0,0,0,0,0,0,0,False
6118cb8a-016b-444d-ad84-2cab0a8310f8,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:08.488645+00:00,2,0,0,0,0,0,2,True
1ad62bf2-0d1f-4d18-9452-9ebdd6caf655,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:06.674601+00:00,0,0,0,0,0,0,0,False
962370a3-b240-4767-974f-c0033c986966,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:03.95633+00:00,0,0,0,0,0,0,0,False
7cf80192-0771-481c-b0f1-2dfe7b0eeb93,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:26:29.230118+00:00,0,0,0,0,0,0,0,False
971c8f16-fbb4-4d04-8fb1-dd9dd4cb21cd,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:26:27.116995+00:00,0,0,0,0,0,0,0,False
4d240cdb-3c96-45c8-8f1c-2b7166f51f52,saivc,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T00:55:20.129665+00:00,1,0,0,0,0,0,0,False
f3051d50-7cc1-4b7b-a2cd-ea93e20a1048,saivc,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T00:55:19.866088+00:00,2,0,0,0,0,0,0,False
1e5866f7-7187-4020-bf93-3500564e02ba,Test Twin,33109209-6fd7-4eb1-bb90-dba7a7b02f56,2025-12-18T09:00:41.185893+00:00,3,0,0,0,0,0,2,True
eeeed554-9180-4229-a9af-0f8dd2c69e9b,Sai,986f270e-2d5c-4f88-ad88-7d2a15ea8ab1,2025-12-18T05:32:46.250111+00:00,3,79,0,8,0,0,87,True
